ID,latitude,longitude,unknow,number,unknow1,unknow2
1334593,37.204320,119.953803,0,216,18,1
309156,28.980050,111.688940,0,0,0,1
3175888,35.359350,115.116690,0,0,0,1
1328382,36.575859,109.962160,0,10,12,1
243009,25.307199,102.468190,0,298,0,1
185465,36.875396,109.319069,0,10,12,1
440053,41.346250,122.173394,0,48,14,1
828135,25.065640,109.338474,0,545,0,1
3457395,30.943555,104.248302,0,55,12,1
1336099,36.839214,108.758621,0,10,12,1
1336101,36.664040,109.440100,0,10,12,1
336637,30.117783,114.846032,0,11,12,1
177061,27.516602,109.231558,0,193,12,1
526988,35.755670,114.313537,0,164,14,1
223838,44.140894,88.178205,0,48,14,1
2091836,31.692320,105.952630,0,48,14,1
2042,31.728684,120.115820,0,168,14,1
1335859,37.550130,121.311920,0,0,0,1
824397,30.225046,115.163457,0,48,14,1
697997,30.962151,104.299481,0,995,0,1
6636,26.212360,117.060150,0,525,0,1
3454082,26.140309,116.892534,0,218,9,1
519084,37.689175,118.509933,0,431,0,1
184919,27.836605,99.710800,0,13,12,1
10439,50.180370,127.418263,0,180,2,1
338153,38.265412,109.910776,0,917,0,1
23743,26.269778,117.570384,0,449,0,1
3450007,37.751694,117.204064,0,571,0,1
3450013,36.943656,117.630329,0,945,0,1
824636,24.514780,109.349880,0,56,6,1
2791441,36.997650,119.614170,0,48,14,1
3450150,24.573138,111.398234,0,0,0,1
3450370,34.499153,108.432008,0,47,13,1
22524,47.360596,123.977135,0,271,9,1
778063,30.959180,104.294390,0,265,9,1
29159,28.842500,104.970530,0,595,0,1
24398,34.886599,108.996779,0,1004,0,1
600174,30.958814,104.279615,0,663,0,1
954386,30.902233,104.219218,0,540,0,1
1122977,25.185051,118.966977,0,465,0,1
1481922,32.971946,114.334196,0,197,15,1
7244,25.878150,115.025890,0,218,9,1
7251,25.870100,115.028130,0,549,0,1
31364,39.464220,118.127110,0,945,0,1
36076,22.787787,115.392086,0,585,0,1
211845,33.648550,119.781044,0,0,0,1
13889,27.010070,114.290370,0,218,9,1
35345,22.564602,113.502206,0,229,15,1
1463291,37.613815,114.969307,0,0,0,1
24535,22.828729,115.359285,0,1042,0,1
42424,29.674520,106.317389,0,197,15,1
526998,35.595430,114.369440,0,457,0,1
1335627,38.088354,106.397252,0,545,0,1
47372,24.739820,118.553970,0,468,0,1
1847628,31.389250,104.806670,0,449,0,1
114380,30.748785,102.064262,0,13,12,1
52358,26.528539,101.852896,0,184,12,1
769531,24.709266,117.559826,0,732,0,1
78988,34.325116,108.632563,0,199,6,1
59763,36.885197,118.142905,0,186,12,1
334425,35.474319,116.596258,0,917,0,1
69823,22.906010,113.607550,0,366,0,1
65976,29.621923,116.126767,0,478,0,1
617966,41.165911,122.961021,0,465,0,1
930732,36.553843,115.985171,0,48,14,1
3405575,22.895720,113.600297,0,86,9,1
75854,22.843690,113.986910,0,437,0,1
73462,33.938711,106.531933,0,55,12,1
77625,23.843981,106.662801,0,468,0,1
214028,35.843303,115.029523,0,298,0,1
94144,30.974438,104.309911,0,168,14,1
76397,25.791236,116.330323,0,55,12,1
3449885,41.997157,119.205490,0,443,0,1
77886,24.400625,109.427002,0,545,0,1
335045,31.714647,104.714347,0,359,0,1
77328,33.123499,106.807752,0,545,0,1
1029376,31.896674,104.775581,0,54,12,1
78973,34.298850,107.263150,0,190,12,1
85236,34.744330,111.855360,0,465,0,1
3454295,25.340157,116.663510,0,86,9,1
236052,30.931861,104.127293,0,572,0,1
83827,40.117941,118.751264,0,9,12,1
84866,34.065000,111.355833,0,13,12,1
90921,37.219979,119.873534,0,459,0,1
87274,29.656268,115.988114,0,572,0,1
84352,27.344840,109.137130,0,218,9,1
173535,33.959980,112.374300,0,13,12,1
1482307,24.050095,117.892622,0,369,0,1
99368,36.909250,101.712840,0,210,17,1
109111,28.670136,109.767169,0,544,0,1
100437,49.167930,119.751961,0,431,0,1
104900,46.626840,124.897524,0,10,12,1
98972,39.959942,118.563002,0,945,0,1
1336096,36.591266,109.493106,0,10,12,1
1336103,38.455250,106.304704,0,10,12,1
99703,23.382680,103.272600,0,56,6,1
716792,23.697970,109.169170,0,13,12,1
986290,42.403046,119.129617,0,13,12,1
102208,27.676970,120.330170,0,37,11,1
111753,39.573993,118.200789,0,187,12,1
623509,30.582670,105.295613,0,164,14,1
1319920,38.947570,115.438180,0,0,0,1
105478,30.445376,120.670500,0,1008,0,1
107826,25.595695,112.542066,0,186,12,1
112130,27.730770,111.972920,0,431,0,1
731542,31.373540,104.835242,0,251,9,1
565972,36.495740,103.694390,0,933,0,1
114669,36.603842,109.504364,0,10,12,1
581798,25.640062,112.377376,0,184,12,1
113709,34.499585,109.415308,0,47,13,1
114666,36.907927,108.192201,0,10,12,1
119045,41.933363,123.562099,0,318,0,1
119481,35.756670,112.904907,0,447,0,1
120812,27.670540,120.337810,0,358,0,1
226793,39.115379,116.055058,0,56,6,1
232900,33.820550,119.676220,0,48,14,1
123159,37.005270,109.850423,0,431,0,1
1100409,30.641275,103.697234,0,175,14,1
669107,27.122233,113.079678,0,13,12,1
3402800,29.616767,116.124281,0,50,5,1
133774,28.927430,111.686580,0,640,0,1
129552,30.936800,104.245161,0,56,6,1
1038288,39.912610,111.721940,0,190,12,1
3450389,33.188067,106.928110,0,298,0,1
3450407,23.595974,102.917508,0,193,12,1
3450423,22.700030,100.948720,0,298,0,1
129657,35.635718,110.583806,0,9,12,1
432899,41.819138,124.036017,0,465,0,1
272138,25.750320,119.606284,0,48,14,1
796684,34.041271,116.822934,0,662,0,1
645236,37.642674,113.823109,0,47,13,1
400665,36.913791,108.189292,0,10,12,1
152548,25.681716,104.083991,0,945,0,1
307869,28.228570,113.199040,0,465,0,1
3449764,36.470135,113.362013,0,1004,0,1
1084889,36.928850,118.007820,0,48,14,1
156179,38.278111,109.721695,0,9,12,1
618649,35.277491,115.404123,0,465,0,1
285192,27.891400,115.479030,0,690,0,1
285225,27.007680,114.288403,0,435,0,1
246687,33.823240,119.649590,0,108,14,1
159474,24.978571,102.784960,0,114,17,1
245851,34.281487,109.970043,0,13,12,1
749973,22.190560,113.142320,0,554,0,1
3564961,30.545445,104.209561,0,251,9,1
231049,31.878650,112.163430,0,464,0,1
314759,30.988150,103.432190,0,218,9,1
177404,35.630041,110.575181,0,1004,0,1
177660,35.663486,110.648952,0,945,0,1
336995,27.150179,115.011892,0,233,9,1
2436896,33.002920,119.429540,0,295,0,1
348808,39.539908,112.318036,0,465,0,1
3454350,27.175100,120.372889,0,66,9,1
3400049,36.816874,118.077007,0,446,0,1
198912,37.417641,121.489114,0,0,0,1
630078,27.020616,114.317954,0,37,11,1
664249,32.608217,110.769758,0,251,9,1
11154563,44.142913,88.163350,0,541,0,1
3457490,30.777829,106.143264,0,384,0,1
1315306,33.826814,119.647060,0,0,0,1
1328946,41.318690,117.738640,0,13,12,1
3450377,37.290759,109.140542,0,0,0,1
3450388,37.695684,107.521385,0,0,0,1
1114739,34.090932,112.457910,0,536,0,1
1457478,35.528510,116.543830,0,119,3,1
538820,30.909370,104.220080,0,458,0,1
182870,33.825685,110.023653,0,545,0,1
3450022,35.449853,115.987310,0,0,0,1
185467,37.129088,109.662070,0,10,12,1
713830,27.009519,112.809450,0,465,0,1
647540,28.775490,111.942920,0,497,0,1
502126,30.071999,114.944245,0,13,12,1
181103,34.909458,112.876610,0,361,0,1
1418005,35.826921,119.221843,0,465,0,1
650248,34.926433,115.937632,0,62,9,1
186177,25.550660,103.193630,0,441,0,1
191619,27.804470,111.309830,0,55,12,1
681070,36.877826,118.305971,0,431,0,1
223980,31.011520,104.217564,0,197,15,1
3451739,35.775435,113.239992,0,917,0,1
1332485,35.593340,115.574273,0,467,0,1
1332534,35.587745,115.574890,0,435,0,1
189448,34.442820,119.821640,0,547,0,1
1473385,27.870050,115.479400,0,457,0,1
197870,30.559509,114.242844,0,185,12,1
1480609,41.428311,123.019513,0,37,11,1
1480610,41.427506,123.015163,0,37,11,1
1480611,41.427381,123.016215,0,362,0,1
194428,28.382880,119.840975,0,197,15,1
651560,29.902620,115.189971,0,13,12,1
692513,36.776114,118.205702,0,480,0,1
3451740,35.668781,112.517483,0,0,0,1
293210,39.784383,118.155615,0,549,0,1
293211,39.808807,118.084389,0,572,0,1
3405609,31.261935,103.507732,0,54,12,1
3457412,30.919103,104.267090,0,454,0,1
196547,37.137678,119.083165,0,457,0,1
3450066,41.811630,124.063840,0,48,14,1
196726,25.438145,119.124958,0,218,9,1
1418324,36.488537,116.345000,0,466,0,1
3450983,35.793211,115.057193,0,945,0,1
659934,31.106161,104.398291,0,266,9,1
203028,27.775506,112.016570,0,190,12,1
214748,36.263840,109.354552,0,10,12,1
206749,34.492165,107.228155,0,168,14,1
206996,28.285277,121.584862,0,56,6,1
1333352,36.822583,117.836293,0,197,15,1
1445606,30.960062,104.374547,0,571,0,1
741967,46.428300,125.199200,0,168,14,1
1319955,39.789162,118.143028,0,549,0,1
3449735,39.299830,118.065785,0,186,12,1
450402,47.236482,130.202328,0,1004,0,1
304038,30.750129,102.090988,0,13,12,1
752627,26.625387,111.210010,0,15,12,1
218339,28.402271,119.842399,0,612,0,1
1336097,37.008768,109.823419,0,10,12,1
1336102,34.389979,108.975215,0,10,12,1
29153,31.200967,104.182060,0,119,3,1
778480,30.135990,114.947370,0,264,9,1
222088,22.890370,113.596140,0,480,0,1
