ID,latitude,longitude,unknow,number,unknow1,unknow2
23,34.219000,108.048000,1,114,0,0
15,27.326122,111.398022,1,474,0,0
9,26.458555,106.346699,1,24,0,0
3,41.700143,112.583557,1,111,0,0
32,39.130000,117.370000,1,29,0,0
12,34.058864,113.314798,1,552,0,0
35,37.206000,105.878000,1,107,0,0
6,37.185069,104.037080,1,183,0,0
21,36.000000,118.470000,1,416,0,0
27,29.106363,120.011818,1,409,0,0
7,22.754761,113.432380,1,193,0,0
24,31.184610,121.508780,1,31,0,0
30,42.693113,83.464099,1,213,0,0
18,40.857142,122.176428,1,198,0,0
10,19.176573,109.757336,1,53,0,0
4,29.559123,106.561890,1,38,0,0
19,27.593636,115.260000,1,313,0,0
25,29.754855,104.107729,1,948,0,0
13,46.368536,127.641853,1,340,0,0
5,25.230000,117.744444,1,612,0,0
22,36.492727,111.753636,1,240,0,0
33,39.900000,116.400000,1,15,0,0
16,42.985879,125.247630,1,141,0,0
2,31.680000,117.041176,1,280,0,0
17,32.215384,119.024615,1,580,0,0
31,24.701767,101.030387,1,92,0,0
11,38.115445,115.561414,1,294,0,0
20,35.823944,100.187507,1,66,0,0
28,30.374600,90.653020,1,11,0,0
14,30.580749,112.557417,1,288,0,0
8,22.970714,108.627142,1,172,0,0
