ID,f_name,Year,recordcount,HY,CJId,HaD,gltype,glname,latitude,longitude
259963,百合花集团股份有限公司,,0,其他日用化学产品制造,32706,0,0,,30.268256,120.600591
11095783,江油启明星氯碱化工有限公司,2011,3,化学原料和化学制品制造业,31510,0,0,,31.623370,104.717410
279524,江苏新春兴再生资源有限责任公司,,0,金属制品业,6199,0,0,,34.000000,118.000000
282433,宝钢集团广东韶关钢铁集团有限公司,,0,钢压延加工,25999,0,0,,24.693185,113.635883
11199322,瀚蓝（惠安）固废处理有限公司,,0,垃圾焚烧发电,16969,1,0,,24.944505,118.854300
302570,康县华泰黄金矿业有限公司,,0,采矿业,36199,0,0,,33.381383,105.474563
194401,恭城岛坪铅锌矿有限公司,2016,1,有色金属矿采选业,24916,0,0,,24.837231,110.830552
1339560,长阳蒙特錳业有限责任公司,,0,,0,0,0,,30.536649,111.074886
3449701,永新县嘉盛皮革皮件有限公司,,0,皮革、毛皮、羽毛及其制品和制鞋业,0,0,0,,26.945002,114.243096
3455105,逊克县维康医疗垃圾处理站,,0,环境治理业,0,0,0,,49.156947,125.315102
11664974,哈尔滨市双琦环保资源利用有限公司,2018,6,垃圾焚烧发电,28965,0,0,,45.706632,126.814922
338944,江西省新华能科技发展有限公司,,0,其他非金属矿物制品制造,52638,0,0,,29.947385,116.601135
11694565,山东荣信集团有限公司,2017,4,石油、煤炭及其他燃料加工业,26499,1,0,,35.329047,116.819093
105457,海宁伟龙印染有限公司,2018,13,棉印染精加工,25915,1,0,,30.462530,120.370800
107829,嘉禾县鑫光工贸有限公司,2012,1,黑色金属冶炼和压延加工业,0,0,0,,25.631787,112.481146
3455048,大庆油田矿区服务事业部外围物业公司庆新垃圾场,,0,固体废物治理,0,0,0,,46.634109,124.909728
3454150,福建省尤溪县金鸡岭矿业有限公司,,0,有色金属矿采选业,0,0,0,,26.307494,118.263196
11662210,湖南省振强锑业有限责任公司,2016,3,有色金属冶炼和压延加工业,4883,0,0,,27.772836,111.499579
