ID,f_name,Year,recordcount,HY,CJId,HaD,gltype,glname,latitude,longitude
1334593,莱州市鸿铖矿业环保开发有限公司,2018,17,非金属废料和碎屑加工处理,0,0,0,,37.204320,119.953803
309156,常德市天恒热镀锌有限公司,2016,4,,0,0,0,,28.980050,111.688940
3175888,菏泽市创源环保科技有限公司,2018,3,,0,0,0,,35.359350,115.116690
243009,云南正晓环保投资有限公司,2018,9,危险废物治理,0,0,0,,25.307199,102.468190
185465,延长油田股份有限公司杏子川采油厂,2018,4,石油和天然气开采业,0,0,0,,36.875396,109.319069
440053,盘锦浩业化工有限公司,2017,4,化学原料和化学制品制造业,0,0,0,,41.346250,122.173394
828135,广西融安兴隆锌业有限责任公司,2019,4,铅锌冶炼,0,0,0,,25.065640,109.338474
3457395,广汉市新洋铝业有限公司,2018,4,有色金属冶炼和压延加工业,0,0,0,,30.943555,104.248302
336637,大冶市唐家庄矿业有限责任公司,2019,5,黑色金属矿采选业,0,0,0,,30.117783,114.846032
177061,贵州省铜仁市万山区鸿发化工有限公司,2019,1,常用有色金属冶炼,11885,0,0,,27.516602,109.231558
526988,鹤壁市恒丰化工有限公司,2017,1,专用化学产品制造,0,0,0,,35.755670,114.313537
223838,新疆丰泰化工科技有限公司,2017,2,化学原料和化学制品制造业,0,0,0,,44.140894,88.178205
2091836,苍溪县钱龙林化有限公司,2019,2,化学原料和化学制品制造业,0,0,0,,31.692320,105.952630
2042,常州市崔北电镀有限公司,2018,10,基础化学原料制造,0,0,0,,31.728684,120.115820
824397,黄石市高纯化工技术有限公司,2018,1,化学原料和化学制品制造业,0,0,0,,30.225046,115.163457
697997,四川宏华源森织造印染有限责任公司,2017,6,其他家用纺织制成品制造,0,0,0,,30.962151,104.299481
6636,福建省永福化工有限公司,2019,4,其他水泥类似制品制造,0,0,0,,26.212360,117.060150
3454082,福建德兴源化工有限公司,2019,2,其他未列明制造业,0,0,0,,26.140309,116.892534
6487,福建湄洲湾氯碱工业有限公司,2019,14,无机酸制造,2296,1,0,,25.138182,118.910439
519084,东营国安化工有限公司,2018,6,原油加工及石油制品制造,0,0,0,,37.689175,118.509933
184919,香格里拉县神川矿业开发有限责任公司,2018,6,有色金属矿采选业,0,0,0,,27.836605,99.710800
10439,黑河合盛硅业有限公司,2014,2,石墨及其他非金属矿物制品制造,0,0,0,,50.180370,127.418263
11066,湖北午时药业股份有限公司,2018,12,医药制造业,4704,1,0,,31.259953,113.671973
11182,湖南省湘中制药有限公司,2018,6,中成药生产,4878,1,0,,27.225366,111.459010
338153,榆林市九鼎环保有限公司,2017,2,环境卫生管理,0,0,0,,38.265412,109.910776
23743,三明金狮达树脂有限公司,2018,6,专项化学用品制造,0,0,0,,26.269778,117.570384
3450007,亚萨合莱国强(山东）五金科技有限公司,2018,3,金属门窗制造,0,0,0,,37.751694,117.204064
3450013,山东广富集团焦化有限公司,2018,4,煤炭加工,0,0,0,,36.943656,117.630329
824636,柳州长虹航天技术有限公司,2018,4,金属制品业,0,0,0,,24.514780,109.349880
2791441,青岛阳林鸿化工有限公司,2018,4,化学原料和化学制品制造业,0,0,0,,36.997650,119.614170
3450150,中铝广西有色金源稀土有限公司,2019,2,,0,0,0,,24.573138,111.398234
3450370,西安长庆化工集团咸阳石化有限公司,2018,2,石油、煤炭及其他燃料加工业,0,0,0,,34.499153,108.432008
22524,齐齐哈尔建华机械有限公司,2018,3,金属加工机械制造,0,0,0,,47.360596,123.977135
778063,四川东泉机械设备制造有限公司,2016,1,其他通用设备制造业,0,0,0,,30.959180,104.294390
29159,四川南山射钉紧固器材有限公司,2014,3,其他金属加工机械制造,0,0,0,,28.842500,104.970530
24398,陕西陕焦化工有限公司,2019,45,炼焦,10123,1,0,,34.886599,108.996779
600174,四川宏华石油设备有限公司,2018,3,石油钻采专用设备制造,0,0,0,,30.958814,104.279615
954386,四川省广汉华威铝业有限公司,2017,3,铝冶炼,0,0,0,,30.902233,104.219218
1122977,福建天原化工有限公司,2019,1,其他基础化学原料制造,0,0,0,,25.185051,118.966977
29833,绥宁县宝庆联纸有限公司,2018,17,机制纸及纸板制造,11262,1,0,,26.590909,110.151278
1481922,汝南立晟镀业有限公司,2018,2,金属表面处理及热处理加工,0,0,0,,32.971946,114.334196
7244,赣州泰普化学有限公司,2018,3,其他未列明制造业,0,0,0,,25.878150,115.025890
7251,赣州鑫隆康稀土有限公司,2018,2,其他未列明金属制品制造,0,0,0,,25.870100,115.028130
32161,铜陵清华科技有限公司,2017,10,涂料、油墨、颜料及类似产品制造,30298,0,0,,30.913403,117.776060
32566,潍坊恒联浆纸有限公司,2019,9,木竹浆制造,23073,1,0,,36.782710,119.186200
32585,潍坊亚星化学股份有限公司,2019,25,无机碱制造,12005,1,0,,36.770970,119.170585
36076,信利电子有限公司,2019,8,计算器及货币专用设备制造,0,0,0,,22.787787,115.392086
34458,芜湖融汇化工有限公司,2018,8,其他基础化学原料制造,12316,1,0,,31.426550,118.362290
211845,中铝稀土（阜宁）有限公司,2018,5,,0,0,0,,33.648550,119.781044
13889,江西创欣制革有限公司,2017,3,其他未列明制造业,0,0,0,,27.010070,114.290370
1463291,河北汉唐宏远环保科技有限公司,2018,3,,0,0,0,,37.613815,114.969307
24535,汕尾德昌电子有限公司,2018,5,可穿戴智能设备制造,0,0,0,,22.828729,115.359285
1464694,舟山市定海区康平电镀厂,2018,5,金属表面处理及热处理加工,29420,0,0,,30.012926,122.065636
526998,鹤壁市农林制药有限公司,2017,1,化学农药制造,0,0,0,,35.595430,114.369440
1335627,灵武市恒业有色金属冶化有限公司,2015,1,铅锌冶炼,0,0,0,,38.088354,106.397252
47372,福建兴宇树脂有限公司,2015,2,无机酸制造,0,0,0,,24.739820,118.553970
1847628,四川同舟化工科技有限公司,2019,1,专项化学用品制造,0,0,0,,31.389250,104.806670
114380,小金县董家沟金矿,2017,4,有色金属矿采选业,0,0,0,,30.748785,102.064262
52358,攀枝花市大西南实业有限公司,2019,3,炼铁,0,0,0,,26.528539,101.852896
769531,漳州市午阳半导体科技有限公司,2017,1,电子真空器件制造,0,0,0,,24.709266,117.559826
58597,云南铜业凯通有色金属有限公司,2019,5,金属制品业,13902,1,0,,26.123810,103.150730
59276,中国石化上海高桥石油化工公司,2018,18,石油、煤炭及其他燃料加工业,39260,1,0,,31.278633,121.577297
1480737,巴彦淖尔市静脉产业园高新技术环保有限公司,2019,2,批发和零售业,71821,0,0,,41.002161,109.251574
78988,咸阳宝石钢管钢绳有限公司,2018,3,金属丝绳及其制品制造,0,0,0,,34.325116,108.632563
334425,济宁市远东医疗垃圾无害化处理有限公司,2019,16,环境卫生管理,0,0,0,,35.474319,116.596258
63964,中国石油化工股份有限公司沧州分公司,2019,16,原油加工及石油制品制造,14679,1,0,,38.334020,116.886716
64755,海门市禾丰化学肥料有限公司,2019,6,肥料制造,48121,0,0,,31.871430,121.260410
65527,嘉联益电子（昆山）有限公司,2019,4,智能消费设备制造,48088,1,0,,31.359934,121.014706
69823,东莞诚达鞋业有限公司,2018,4,纺织面料鞋制造,0,0,0,,22.906010,113.607550
1481628,沁阳市神牛皮革制品厂,2019,1,皮革鞣制加工,59913,1,0,,35.137640,112.844304
617966,鞍山市国锐化工有限公司,2013,1,其他基础化学原料制造,0,0,0,,41.165911,122.961021
930732,聊城市中联实业有限公司,2019,8,化学原料和化学制品制造业,0,0,0,,36.553843,115.985171
3405575,东莞市金明商贸发展有限公司,2018,2,批发和零售业,0,0,0,,22.895720,113.600297
75854,东莞市盛和化工有限公司,2018,7,染料制造,0,0,0,,22.843690,113.986910
73462,东岭锌业股份有限公司,2018,12,有色金属冶炼和压延加工业,1767,1,0,,33.938711,106.531933
77625,广西百色东信化工有限责任公司,2019,1,无机酸制造,0,0,0,,23.843981,106.662801
214028,濮阳市惠濮医疗废物处理有限公司,2018,8,危险废物治理,0,0,0,,35.843303,115.029523
94144,四川省广汉市运通化工厂,2015,2,基础化学原料制造,0,0,0,,30.974438,104.309911
76397,长汀金龙稀土有限公司,2019,1,有色金属冶炼和压延加工业,0,0,0,,25.791236,116.330323
3449885,内蒙古吉安化工有限责任公司元宝山分公司,2019,1,炸药及火工产品制造,0,0,0,,41.997157,119.205490
77886,柳州市安弘有色金属厂,2019,7,铅锌冶炼,0,0,0,,24.400625,109.427002
80614,台州市黄岩光明电镀厂,2018,12,金属表面处理及热处理加工,0,0,0,,28.687250,121.339381
77328,汉中锌业有限责任公司,2018,29,铅锌冶炼,3843,1,0,,33.123499,106.807752
335045,四川德华皮革制造有限公司,2018,2,皮革服装制造,0,0,0,,31.714647,104.714347
77668,平安鑫海资源开发有限公司,2018,3,有色金属矿采选业,18296,1,0,,36.514750,102.074000
1029376,江油市丰威新材料有限责任公司,2018,2,黑色金属冶炼和压延加工业,0,0,0,,31.896674,104.775581
78973,宝钛集团有限公司,2018,14,有色金属合金制造,437,1,0,,34.298850,107.263150
85236,中蓝义马铬化学有限公司,2018,2,其他基础化学原料制造,0,0,0,,34.744330,111.855360
81661,湖北华尔靓科技有限公司,2018,3,黑色金属冶炼和压延加工业,4626,0,0,,31.089210,113.239260
3454295,福建新宏达实业有限公司,2019,2,批发和零售业,0,0,0,,25.340157,116.663510
236052,成都彭州京华制管有限公司,2019,3,金属结构制造,0,0,0,,30.931861,104.127293
