ID,latitude,longitude,unknow,number,unknow1,unknow2
227705,29.884970,121.640230,0,1040,0,2
228931,24.050728,117.894866,0,36,11,0
231583,26.456200,103.329520,0,545,0,0
244862,30.103652,120.652071,0,237,9,0
250244,24.044071,117.895053,0,37,11,2
260016,30.881690,120.064930,0,358,0,0
271417,29.447745,119.916022,0,0,0,0
11637682,30.306156,114.135804,0,391,0,0
11651451,34.372608,118.264759,0,457,0,0
11653276,22.715347,113.799225,0,228,15,0
11665228,47.209180,123.611619,0,265,9,0
11670099,30.734051,120.867997,0,197,15,2
11675524,31.346321,120.984650,0,229,15,0
294198,31.573426,120.823452,0,63,9,0
294206,31.417400,120.969410,0,954,0,0
11695298,37.765690,114.566460,0,168,14,0
296267,37.794327,115.773860,0,467,0,2
11696305,30.337027,114.096165,0,61,15,0
1264081,30.591749,121.053673,0,48,14,0
1338211,28.036242,120.611946,0,293,0,0
1921,31.739465,120.024510,0,79,9,0
2255,31.625210,120.072960,0,197,15,0
2377,31.957970,119.814904,0,917,0,0
4008,37.080430,114.392140,0,185,12,2
13289,32.405400,119.563100,0,457,0,2
15568,24.728631,118.504267,0,958,0,0
16493,22.393444,112.716087,0,63,9,2
18409,24.360020,109.399350,0,460,0,0
21020,29.480274,121.951988,0,1008,0,2
21114,29.708962,121.419370,0,55,12,0
21191,29.977211,121.697128,0,48,14,0
21820,29.306994,121.427977,0,958,0,0
23306,31.779210,117.274250,0,659,0,0
32566,36.782710,119.186200,0,395,0,2
32585,36.770970,119.170585,0,466,0,2
36584,34.571816,117.352801,0,54,12,2
40564,30.489265,120.392623,0,22,1,0
40596,30.396485,120.361080,0,22,1,2
41341,32.167960,119.619010,0,166,14,2
41707,36.092214,103.626576,0,55,12,0
41744,36.697381,117.159960,0,431,0,2
43611,38.989875,121.854323,0,431,0,0
43847,31.631399,120.405349,0,240,9,0
44289,32.483290,114.036240,0,185,12,0
44521,43.858340,87.296900,0,185,12,0
47356,26.259061,117.626892,0,945,0,0
49113,30.476823,111.455838,0,218,9,0
51571,31.719340,118.471720,0,185,12,2
53505,37.914535,112.562497,0,54,12,2
